2015,Hoodie,800.0,l,3,white
2014,Hoodie,800.0,m,4,white
2013,Hoodie,800.0,s,3,white
2025,Hoodie,800.0,l,1,black
2024,Hoodie,600.0,m,2,black
2023,Hoodie,600.0,s,3,black
2035,Hoodie,600.0,l,3,blue
2034,Hoodie,600.0,m,3,blue
2033,Hoodie,600.0,s,3,blue
3015,Crewneck,600.0,l,4,white
3014,Crewneck,600.0,m,4,white
3013,Crewneck,600.0,s,4,white
3025,Crewneck,600.0,l,3,black
3024,Crewneck,600.0,m,2,black
3023,Crewneck,600.0,s,1,black
3035,Crewneck,600.0,l,4,blue
3034,Crewneck,600.0,m,3,blue
3033,Crewneck,600.0,s,1,blue
